BeginAnalysis,,
_AnalysisName," ""Run101620-2_Material Y_Analysis 94624.mss""",
_MethodName," ""Method 123468_06-Peel Strength.msm""",
InitialSpeed,305,"  ""mm/min"""
DataRate,50,"  ""Hz"""
EndPoint,40,"  ""mm"""
GageLength,50,"  ""mm"""
PeelEndExt,40,"  ""mm"""
StartPoint,3,"  ""mm"""
BeginSample,,
AverageLoad,1.07,"  ""N"""
AvgNPeaks,2.66,"  ""N"""
PeakLoad,3.04,"  ""N"""
PeelEnd,402,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
1,15.045,
1,15.147,
1,15.249,
0.99,15.349,
1.01,15.452,
1.02,15.553,
1.02,15.655,
1.04,15.757,
1.09,15.858,
1.14,15.96,
1.2,16.062,
1.26,16.164,
1.28,16.265,
1.27,16.367,
1.3,16.468,
1.35,16.57,
1.34,16.672,
1.3,16.773,
1.31,16.875,
1.38,16.977,
1.44,17.078,
1.49,17.18,
1.55,17.282,
1.62,17.383,
1.68,17.485,
1.74,17.587,
1.81,17.688,
1.87,17.79,
1.9,17.891,
1.86,17.993,
1.82,18.095,
1.85,18.196,
1.83,18.299,
1.79,18.401,
1.8,18.501,
1.77,18.603,
1.73,18.705,
1.75,18.806,
1.76,18.909,
1.74,19.01,
1.71,19.111,
1.74,19.213,
1.81,19.315,
1.89,19.416,
1.95,19.519,
1.96,19.62,
1.96,19.721,
2,19.824,
2.05,19.925,
2.1,20.027,
2.14,20.129,
2.2,20.23,
2.27,20.331,
2.32,20.434,
2.35,20.534,
2.37,20.637,
2.41,20.738,
2.5,20.84,
2.62,20.942,
2.72,21.043,
2.8,21.144,
2.89,21.247,
2.93,21.348,
2.92,21.45,
2.96,21.552,
3.04,21.653,
3.04,21.755,
2.96,21.857,
2.97,21.958,
3.06,22.06,
3.12,22.162,
3.12,22.263,
3.14,22.365,
3.13,22.467,
3.11,22.568,
3.15,22.67,
3.19,22.772,
3.12,22.873,
3.03,22.975,
3.02,23.076,
2.88,23.178,
2.49,23.28,
2.15,23.381,
1.97,23.483,
1.86,23.585,
1.82,23.686,
1.83,23.788,
1.78,23.89,
1.74,23.991,
1.75,24.093,
1.8,24.195,
1.86,24.296,
1.94,24.399,
2,24.5,
2.04,24.601,
2.1,24.704,
2.18,24.805,
2.24,24.907,
2.27,25.009,
2.28,25.11,
2.28,25.212,
2.32,25.314,
2.31,25.415,
2.15,25.517,
2,25.619,
2.04,25.719,
2.12,25.822,
2.19,25.923,
2.23,26.025,
2.24,26.127,
2.26,26.228,
2.31,26.33,
2.37,26.432,
2.44,26.533,
2.5,26.635,
2.55,26.737,
2.6,26.838,
2.68,26.94,
2.7,27.042,
2.63,27.143,
2.64,27.245,
2.69,27.347,
2.71,27.448,
2.73,27.55,
2.71,27.652,
2.68,27.753,
2.69,27.855,
2.67,27.957,
2.65,28.058,
2.67,28.16,
2.72,28.261,
2.7,28.363,
2.64,28.466,
2.65,28.566,
2.72,28.669,
2.79,28.77,
2.83,28.871,
2.87,28.974,
2.93,29.075,
2.92,29.176,
2.8,29.279,
2.67,29.38,
2.55,29.481,
2.41,29.584,
2.3,29.685,
2.24,29.786,
2.24,29.889,
2.27,29.99,
2.3,30.092,
2.3,30.194,
2.28,30.295,
2.11,30.397,
1.91,30.498,
1.83,30.6,
1.82,30.702,
1.84,30.803,
1.82,30.904,
1.74,31.007,
1.65,31.108,
1.64,31.21,
1.66,31.312,
1.63,31.413,
1.61,31.515,
1.62,31.617,
1.65,31.718,
1.61,31.82,
1.5,31.922,
1.45,32.023,
1.43,32.125,
1.4,32.227,
1.36,32.328,
1.32,32.43,
1.25,32.532,
1.2,32.633,
1.18,32.735,
1.17,32.837,
1.18,32.938,
1.21,33.04,
1.24,33.142,
1.26,33.243,
1.27,33.345,
1.3,33.446,
1.3,33.548,
1.27,33.65,
1.24,33.751,
1.24,33.854,
1.2,33.955,
1.14,34.056,
1.14,34.159,
1.15,34.26,
1.13,34.361,
1.11,34.464,
1.08,34.565,
1.04,34.666,
1.05,34.769,
1.07,34.87,
1.06,34.971,
1.06,35.074,
1.06,35.175,
1.03,35.277,
1.01,35.378,
1,35.48,
1.01,35.582,
1.02,35.684,
1.04,35.785,
0.96,35.887,
0.82,35.988,
0.79,36.089,
0.8,36.192,
0.82,36.293,
0.83,36.395,
0.85,36.497,
0.87,36.598,
0.89,36.7,
0.9,36.802,
0.86,36.903,
0.84,37.005,
0.84,37.107,
0.79,37.208,
0.7,37.31,
0.65,37.412,
0.65,37.513,
0.65,37.615,
0.62,37.717,
0.51,37.818,
0.43,37.92,
0.42,38.022,
0.43,38.124,
0.42,38.225,
0.39,38.326,
0.37,38.428,
0.37,38.531,
0.37,38.631,
0.34,38.733,
0.3,38.835,
0.28,38.936,
0.29,39.039,
0.28,39.14,
0.23,39.241,
0.21,39.344,
0.21,39.445,
0.22,39.546,
0.22,39.649,
0.23,39.75,
0.21,39.852,
0.19,39.954,
0.19,40.055,
0.19,40.156,
0.18,40.259,
0.18,40.36,
0.18,40.462,
0.18,40.564,
0.18,40.665,
0.16,40.767,
0.15,40.869,
0.16,40.97,
0.16,41.072,
0.16,41.173,
0.14,41.275,
0.12,41.377,
0.11,41.478,
0.11,41.58,
0.12,41.682,
0.12,41.783,
0.12,41.885,
0.13,41.987,
0.13,42.088,
0.12,42.19,
0.12,42.292,
0.11,42.393,
0.11,42.495,
0.11,42.597,
0.11,42.698,
0.11,42.8,
0.11,42.902,
0.11,43.003,
0.11,43.105,
0.11,43.206,
0.11,43.309,
0.11,43.41,
0.11,43.511,
0.11,43.613,
0.12,43.715,
0.12,43.816,
0.12,43.918,
0.12,44.02,
0.12,44.121,
0.12,44.224,
0.12,44.325,
0.1,44.426,
0.04,44.529,
0,44.63,
0,44.731,
0,44.834,
0,44.935,
0,45.028,
0,45.028,
EndData,,
EndSample,,
BeginSample,,
AverageLoad,1.39,"  ""N"""
AvgNPeaks,3.58,"  ""N"""
PeakLoad,3.93,"  ""N"""
