BeginAnalysis,,
_AnalysisName," ""Run101620-1_Material X_Analysis 94623.mss""",
_MethodName," ""Method 123468_06-Peel Strength.msm""",
InitialSpeed,305,"  ""mm/min"""
DataRate,50,"  ""Hz"""
EndPoint,40,"  ""mm"""
GageLength,50,"  ""mm"""
PeelEndExt,40,"  ""mm"""
StartPoint,3,"  ""mm"""
BeginSample,,
AverageLoad,0.91,"  ""N"""
AvgNPeaks,2.23,"  ""N"""
PeakLoad,2.58,"  ""N"""
PeelEnd,402,"  """""
PeelStart,38,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0,0,
1.54,31.912,
1.57,32.013,
1.58,32.115,
1.57,32.217,
1.53,32.318,
1.5,32.42,
1.52,32.522,
1.47,32.623,
1.35,32.725,
1.24,32.827,
1.2,32.928,
1.19,33.03,
1.17,33.132,
1.17,33.233,
1.19,33.335,
1.22,33.436,
1.23,33.538,
1.2,33.64,
1.09,33.741,
1.01,33.843,
0.98,33.945,
0.95,34.046,
0.92,34.148,
0.92,34.25,
0.92,34.351,
0.9,34.453,
0.87,34.555,
0.82,34.656,
0.79,34.758,
0.72,34.86,
0.61,34.961,
0.59,35.064,
0.6,35.165,
0.6,35.267,
0.58,35.368,
0.5,35.469,
0.45,35.572,
0.45,35.673,
0.43,35.774,
0.39,35.877,
0.39,35.978,
0.4,36.079,
0.39,36.182,
0.37,36.283,
0.35,36.385,
0.34,36.487,
0.34,36.588,
0.35,36.689,
0.36,36.792,
0.37,36.893,
0.36,36.995,
0.36,37.097,
0.37,37.198,
0.38,37.3,
0.39,37.402,
0.4,37.503,
0.4,37.605,
0.41,37.707,
0.41,37.808,
0.41,37.91,
0.4,38.011,
0.38,38.113,
0.37,38.215,
0.37,38.316,
0.37,38.418,
0.36,38.52,
0.3,38.621,
0.18,38.723,
0.12,38.825,
0.12,38.926,
0.12,39.028,
0.13,39.13,
0.13,39.231,
0.14,39.333,
0.13,39.435,
0.12,39.536,
0.11,39.638,
0.11,39.74,
0.11,39.841,
0.11,39.943,
0.11,40.044,
0.11,40.146,
0.11,40.249,
0.11,40.35,
0.11,40.451,
0.11,40.553,
0.09,40.654,
0.03,40.757,
0,40.858,
0,40.959,
0,41.062,
0,41.163,
0,41.264,
0,41.367,
0,41.468,
0,41.57,
0,41.672,
0,41.773,
-0.01,41.875,
0,41.977,
0,42.078,
-0.01,42.18,
0,42.282,
0,42.382,
-0.01,42.485,
0,42.587,
0,42.688,
0,42.79,
0,42.892,
0,42.993,
-0.01,43.095,
0,43.196,
0,43.298,
0,43.4,
0,43.501,
0,43.603,
0,43.705,
0,43.806,
0,43.908,
0,44.01,
0,44.111,
-0.01,44.214,
0,44.315,
0,44.416,
0,44.518,
0,44.62,
0,44.721,
0,44.823,
0,44.925,
-0.01,45.023,
-0.01,45.023,
EndData,,
EndSample,,
BeginSample,,
AverageLoad,1.21,"  ""N"""
AvgNPeaks,2.73,"  ""N"""
PeakLoad,2.96,"  ""N"""
PeelEnd,403,"  """""
PeelStart,39,"  """""
BeginData,,
_Load, SlackExt,
N," ""mm""",
0,0.001,
0,0.001,
0,0.001,
0,0.001,
0,0.001,
0,0.001,
0,0.001,
0,0.009,
0,0.035,
0,0.07,
0.03,0.121,
0.06,0.186,
0.04,0.261,
0.02,0.348,
0.03,0.447,
0.03,0.553,
0.02,0.654,
0.01,0.756,
0.01,0.858,
0.01,0.959,
0.01,1.061,
0.02,1.163,
0.02,1.264,
0.02,1.366,
0.02,1.468,
0.03,1.569,
0.03,1.671,
0.03,1.773,
0.03,1.874,
0.04,1.976,
0.05,2.077,
0.05,2.179,
0.06,2.281,
0.06,2.382,
0.07,2.484,
0.08,2.586,
0.08,2.687,
0.08,2.79,
0.1,2.891,
0.11,2.992,
0.12,3.094,
0.14,3.196,
0.15,3.297,
0.17,3.4,
0.19,3.501,
0.21,3.602,
0.23,3.704,
0.25,3.805,
0.26,3.907,
0.27,4.01,
0.29,4.111,
0.3,4.213,
0.3,4.314,
0.31,4.415,
0.32,4.518,
0.32,4.619,
0.32,4.72,
0.32,4.823,
0.34,4.924,
0.37,5.025,
0.4,5.128,
0.44,5.229,
0.4,5.331,
0.31,5.433,
0.28,5.534,
0.31,5.636,
0.33,5.738,
0.36,5.839,
0.38,5.941,
0.4,6.043,
0.39,6.144,
0.4,6.246,
0.42,6.348,
0.43,6.449,
0.43,6.551,
0.46,6.653,
0.5,6.754,
0.53,6.856,
0.57,6.957,
0.61,7.059,
0.63,7.161,
0.66,7.262,
0.69,7.364,
0.71,7.466,
0.7,7.567,
0.71,7.669,
0.73,7.771,
0.74,7.872,
0.77,7.974,
0.8,8.076,
0.8,8.177,
0.79,8.279,
0.79,8.381,
0.82,8.482,
0.86,8.585,
0.91,8.686,
0.94,8.787,
0.98,8.889,
1,8.99,
0.99,9.092,
1,9.195,
1.04,9.295,
1.06,9.397,
1.08,9.499,
1.13,9.601,
1.19,9.703,
1.23,9.804,
1.28,9.905,
1.33,10.008,
1.36,10.109,
1.34,10.21,
1.32,10.313,
1.29,10.414,
1.27,10.516,
1.28,10.618,
1.32,10.719,
1.38,10.82,
1.44,10.923,
1.48,11.024,
1.52,11.125,
1.54,11.228,
1.47,11.329,
1.39,11.431,
1.37,11.533,
1.39,11.634,
1.41,11.736,
1.41,11.838,
1.39,11.939,
1.34,12.041,
1.3,12.142,
1.29,12.244,
1.3,12.346,
1.29,12.447,
1.29,12.549,
1.27,12.651,
1.21,12.752,
1.19,12.854,
1.23,12.956,
1.26,13.057,
1.26,13.16,
1.27,13.261,
1.31,13.362,
1.37,13.464,
1.39,13.566,
1.37,13.667,
1.39,13.77,
1.43,13.871,
1.42,13.972,
1.4,14.074,
1.46,14.175,
1.53,14.277,
1.58,14.38,
1.63,14.48,
1.67,14.582,
1.65,14.684,
1.6,14.785,
1.58,14.888,
1.63,14.989,
1.7,15.09,
1.74,15.193,
1.72,15.294,
1.64,15.395,
1.56,15.498,
1.58,15.598,
1.63,15.701,
1.58,15.803,
1.52,15.904,
1.52,16.005,
1.57,16.108,
1.63,16.209,
1.68,16.311,
1.62,16.413,
1.52,16.513,
1.54,16.616,
1.61,16.717,
1.68,16.819,
1.74,16.921,
1.72,17.023,
1.65,17.124,
1.68,17.226,
1.74,17.327,
1.8,17.429,
1.86,17.531,
1.94,17.632,
2.01,17.734,
2.06,17.836,
2.1,17.937,
2.14,18.039,
2.16,18.141,
2.17,18.242,
2.17,18.344,
2.17,18.446,
2.19,18.547,
2.21,18.65,
2.2,18.751,
2.19,18.852,
2.2,18.955,
2.23,19.055,
2.28,19.158,
2.32,19.259,
2.33,19.36,
2.31,19.462,
2.26,19.565,
2.25,19.666,
2.27,19.768,
2.28,19.869,
2.31,19.97,
2.35,20.073,
2.39,20.174,
2.39,20.276,
2.42,20.378,
2.51,20.479,
2.58,20.58,
2.59,20.683,
2.53,20.784,
2.5,20.886,
2.56,20.988,
2.56,21.088,
2.45,21.191,
2.37,21.293,
2.33,21.394,
2.3,21.496,
2.23,21.598,
2.09,21.698,
2.01,21.801,
2.01,21.902,
2.01,22.004,
2.01,22.106,
2.01,22.208,
1.96,22.309,
1.92,22.411,
1.91,22.512,
1.95,22.614,
2.02,22.716,
2.08,22.817,
2.14,22.919,
2.2,23.021,
2.24,23.122,
2.29,23.224,
2.31,23.326,
2.27,23.427,
2.24,23.529,
2.24,23.631,
2.24,23.732,
2.22,23.835,
2.21,23.936,
2.14,24.037,
2.09,24.139,
2.12,24.24,
2.11,24.343,
2.07,24.444,
2.11,24.545,
2.14,24.647,
2.13,24.749,
2.1,24.85,
2.07,24.953,
2.1,25.054,
2.16,25.155,
2.23,25.258,
2.3,25.359,
2.35,25.46,
2.39,25.563,
2.37,25.664,
2.26,25.765,
2.21,25.868,
2.12,25.969,
1.97,26.071,
1.96,26.173,
2.01,26.273,
2.03,26.376,
2.08,26.478,
2.15,26.579,
2.19,26.681,
2.22,26.782,
2.27,26.883,
2.32,26.986,
2.31,27.087,
2.22,27.188,
2.13,27.291,
2.1,27.392,
2.05,27.494,
2.06,27.596,
2.09,27.697,
2.1,27.799,
2.09,27.901,
2.11,28.002,
2.16,28.104,
2.22,28.206,
2.28,28.307,
2.31,28.409,
2.33,28.511,
2.34,28.612,
2.29,28.714,
2.23,28.816,
2.25,28.917,
2.32,29.02,
2.39,29.121,
2.43,29.222,
2.5,29.325,
2.55,29.425,
2.59,29.527,
2.64,29.629,
2.65,29.73,
2.64,29.833,
2.65,29.935,
2.58,30.035,
2.54,30.138,
2.6,30.239,
2.62,30.341,
2.62,30.443,
2.67,30.544,
2.72,30.645,
2.71,30.748,
2.66,30.848,
2.59,30.95,
2.59,31.053,
2.64,31.153,
2.7,31.256,
2.78,31.358,
2.84,31.459,
2.89,31.561,
2.92,31.663,
2.96,31.764,
2.93,31.866,
2.85,31.967,
2.76,32.069,
2.52,32.171,
2.22,32.272,
2.13,32.374,
2.19,32.476,
2.25,32.577,
2.21,32.679,
2.09,32.781,
2.07,32.882,
2.11,32.984,
2.16,33.086,
2.22,33.187,
2.28,33.289,
2.34,33.391,
2.35,33.492,
2.31,33.594,
2.32,33.695,
2.36,33.798,
2.3,33.9,
1.94,34,
1.61,34.102,
1.58,34.205,
1.6,34.305,
1.6,34.407,
1.5,34.51,
1.3,34.61,
1.22,34.712,
1.17,34.814,
1.1,34.915,
1.1,35.018,
1.12,35.119,
1.13,35.22,
1.12,35.323,
1.01,35.424,
0.63,35.526,
0.31,35.628,
0.26,35.729,
0.26,35.83,
0.27,35.933,
0.28,36.034,
0.26,36.136,
0.23,36.238,
0.18,36.338,
0.12,36.441,
0.11,36.543,
0.11,36.643,
0.1,36.746,
0.08,36.848,
0.06,36.948,
0.05,37.051,
0.05,37.152,
0.05,37.254,
0.06,37.356,
0.06,37.457,
0.06,37.559,
0.07,37.661,
0.07,37.762,
0.08,37.864,
0.09,37.966,
0.09,38.067,
0.09,38.169,
0.1,38.271,
0.1,38.372,
0.11,38.474,
0.11,38.576,
0.11,38.677,
0.12,38.779,
0.12,38.88,
0.12,38.983,
0.11,39.084,
0.1,39.185,
0.1,39.287,
0.1,39.39,
0.1,39.49,
0.1,39.592,
0.11,39.694,
0.11,39.795,
0.11,39.897,
0.11,39.999,
0.11,40.1,
0.11,40.203,
0.1,40.304,
0.1,40.405,
0.1,40.508,
0.1,40.609,
0.1,40.711,
0.11,40.813,
0.11,40.914,
0.11,41.015,
0.11,41.118,
0.1,41.218,
0.1,41.321,
0.11,41.423,
0.11,41.523,
0.11,41.626,
0.12,41.728,
0.12,41.829,
0.09,41.931,
0.07,42.033,
0.06,42.133,
0.06,42.236,
0.07,42.337,
0.06,42.439,
0.07,42.541,
0.07,42.642,
0.06,42.744,
0.07,42.846,
0.07,42.947,
0.06,43.049,
0.07,43.151,
0.07,43.252,
0.07,43.354,
0.07,43.456,
0.07,43.557,
0.07,43.659,
0.04,43.76,
0.01,43.862,
0,43.965,
0,44.065,
-0.01,44.168,
0,44.27,
0,44.37,
0,44.472,
0,44.575,
0,44.675,
0,44.777,
0,44.879,
0,44.98,
0,45.041,
0,45.041,
EndData,,
EndSample,,
BeginSample,,
AverageLoad,0.92,"  ""N"""
AvgNPeaks,2.17,"  ""N"""
PeakLoad,2.86,"  ""N"""
PeelEnd,401,"  """""
PeelStart,38,"  """""
BeginData,,
